sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d78ther209	bin.925	18.287903672370494	2.3002649061823734	1.385648034847196	1.385648034847196	1.3891866706530491	0.9814205234056356	100	-0.5128675042552564	0.03021484482518777	78	ther	209	78
d78sub198	bin.437	7.173712310265226	0.9945557758670514	1.373451381002983	1.373451381002983	1.3878199155896749	0.9869191151380626	100	-0.6240971533503229	0.06269618524836586	78	sub	198	78
d35ther115	bin.437	5.002886849420646	0.7177438734545607	1.5399893742183586	1.5399893742183586	1.5452889793100035	0.9875834781018427	100	-0.0017753326563737719	0.001351662541435372	35	ther	115	35
d07ctrl035	bin.437	13.993926242419027	5.184729094444022	1.4831543184499116	1.4831543184499116	1.4848116472112363	0.9907011107928595	100	-0.010358734034667258	0.00240128518039795	07	ctrl	035	7
d78sub200	bin.437	15.01595100287712	2.1159593508263836	1.3752958986588233	1.3752958986588233	1.4387208115114185	0.9853464417915023	100	-13.584064106087105	0.2682318063798564	78	sub	200	78
d07ther055	bin.437	5.595192325679715	1.27721353901986	1.4932786627054133	1.4932786627054133	1.4988306697196228	0.9875135196965324	100	-0.0026501008727330922	0.0017263580390017852	07	ther	055	7
d07sub046	bin.437	40.0805489353901	5.860407234099408	1.3362189997802927	1.3362189997802927	1.338509618347527	0.9914599863435314	100	-0.011028751756627042	0.0015107986244725642	07	sub	046	7
d78sub196	bin.318	11.417370874939417	0.8392892631997918	1.769787951284372	1.769787951284372	1.8185847021618793	0.9928463547320343	100	-1.7038853085165424	0.10131739633038336	78	sub	196	78
d78ctrl181	bin.318	48.84820962307793	2.57231828057722	1.4988477147270223	1.4988477147270223	1.5513692430922148	0.9804271788806489	100	-11.610703633116271	0.16638358048203286	78	ctrl	181	78
d78ctrl188	bin.318	28.56557410234715	1.5131909900175278	1.4397799440535084	1.4397799440535084	1.4847853391199526	0.9910668831796825	100	-7.676723352421197	0.19299649232877383	78	ctrl	188	78
d78ctrl185	bin.203	6.664269370453982	0.7445932655752249	1.4720937239460967	1.4720937239460967	1.4793630771985753	0.9783927283274766	100	-0.1069194373621549	0.026024751037697972	78	ctrl	185	78
d78ctrl183	bin.203	5.437671089483064	0.440480736322533	1.5054287014199157	1.5054287014199157	1.5398678064612819	0.9763320990296244	100	-0.776828820479141	0.10121063134053376	78	ctrl	183	78
d78ctrl187	bin.203	5.038148439358056	0.9963239780177561	1.5873552624658671	1.5873552624658671	1.6376859568984996	0.991073769809816	98.1	-1.434368257754473	0.15104779563197548	78	ctrl	187	78
d78ctrl188	bin.203	36.64009074499171	1.940918638291622	1.37607269951778	1.37607269951778	1.3819605806813362	0.9824670545304073	99.86999999999999	-1.2337629035089384	0.0423803726002948	78	ctrl	188	78
d07ctrl039	bin.405	10.276142245313276	1.4411581527551143	1.5078040897268314	1.5078040897268314	1.546832381953765	0.9823853438614673	100	-0.3253017340590943	0.039075496235288054	07	ctrl	039	7
