#Reads:	7178582
#Bases:	10623825941
#Max:	67547
#Min:	35
#Avg:	1479.9
#Median:	1290
#Mode:	1170
#Std_Dev:	1006.4
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
3150	3388	0.047%	333915	4.652%	10687240	0.101%	1491897360	14.043%
3160	3348	0.047%	330527	4.604%	10594757	0.100%	1481210120	13.942%
3170	3231	0.045%	327179	4.558%	10256750	0.097%	1470615363	13.843%
3180	3204	0.045%	323948	4.513%	10203188	0.096%	1460358613	13.746%
3190	3274	0.046%	320744	4.468%	10459098	0.098%	1450155425	13.650%
3200	3186	0.044%	317470	4.422%	10209777	0.096%	1439696327	13.552%
3210	3100	0.043%	314284	4.378%	9964648	0.094%	1429486550	13.455%
3220	3216	0.045%	311184	4.335%	10370022	0.098%	1419521902	13.362%
3230	3100	0.043%	307968	4.290%	10027008	0.094%	1409151880	13.264%
3240	3034	0.042%	304868	4.247%	9843749	0.093%	1399124872	13.170%
3250	2975	0.041%	301834	4.205%	9681895	0.091%	1389281123	13.077%
3260	2995	0.042%	298859	4.163%	9777240	0.092%	1379599228	12.986%
3270	2878	0.040%	295864	4.121%	9424162	0.089%	1369821988	12.894%
3280	2865	0.040%	292986	4.081%	9409830	0.089%	1360397826	12.805%
3290	2682	0.037%	290121	4.041%	8835928	0.083%	1350987996	12.717%
3300	2941	0.041%	287439	4.004%	9718363	0.091%	1342152068	12.633%
3310	2837	0.040%	284498	3.963%	9403233	0.089%	1332433705	12.542%
3320	2789	0.039%	281661	3.924%	9272129	0.087%	1323030472	12.453%
3330	2848	0.040%	278872	3.885%	9496842	0.089%	1313758343	12.366%
3340	2704	0.038%	276024	3.845%	9043515	0.085%	1304261501	12.277%
3350	2633	0.037%	273320	3.807%	8832313	0.083%	1295217986	12.192%
3360	2622	0.037%	270687	3.771%	8821625	0.083%	1286385673	12.108%
3370	2694	0.038%	268065	3.734%	9090866	0.086%	1277564048	12.025%
3380	2540	0.035%	265371	3.697%	8596536	0.081%	1268473182	11.940%
3390	2526	0.035%	262831	3.661%	8574494	0.081%	1259876646	11.859%
3400	2470	0.034%	260305	3.626%	8409122	0.079%	1251302152	11.778%
3410	2417	0.034%	257835	3.592%	8252787	0.078%	1242893030	11.699%
3420	2404	0.033%	255418	3.558%	8232460	0.077%	1234640243	11.621%
3430	2496	0.035%	253014	3.525%	8572482	0.081%	1226407783	11.544%
3440	2415	0.034%	250518	3.490%	8318534	0.078%	1217835301	11.463%
3450	2349	0.033%	248103	3.456%	8114655	0.076%	1209516767	11.385%
